objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
26,E14000555,Bethnal Green and Bow,535339,182777,-0.05038,51.52769089,9165698.11401674,16148.480762201
27,E14000556,Beverley and Holderness,523478,430751,-0.12853,53.75851059,829912915.87663,208992.773327774
28,E14000557,Bexhill and Battle,572483,119019,0.453915,50.94480133,530845528.722556,185754.733793582
30,E14000559,Birkenhead,330482,388287,-3.04668999,53.38684082,28003124.7289742,25053.4398512318
31,E14000560,"Birmingham, Edgbaston",402500,283463,-1.96463001,52.44913101,28318673.4020263,30639.0220814884
29,E14000558,Bexleyheath and Crayford,549971,175943,0.157489,51.46258926,22854567.0069565,28556.5293809132
59,E14000588,Bradford South,415841,429295,-1.76119995,53.75978088,43261127.8555507,62610.1166373438
60,E14000589,Bradford West,412492,433844,-1.81182003,53.80075836,35244278.0244704,41139.586299526
61,E14000590,Braintree,577253,232650,0.57864898,51.96406937,467565134.29593,143248.948443524
32,E14000561,"Birmingham, Erdington",410573,292673,-1.84555995,52.53182983,22049591.6358342,25169.9064235988
85,E14000614,Calder Valley,403388,423842,-1.95014,53.71099854,306262665.41797,124618.625789244
33,E14000562,"Birmingham, Hall Green",408501,282513,-1.87636006,52.44052887,19724858.8560752,25831.1009195383
100,E14000629,Chelsea and Fulham,525982,177080,-0.18723001,51.47864914,9118542.47737508,16338.8551927212
101,E14000630,Cheltenham,394670,221154,-2.07884002,51.88891983,37245280.6016962,35045.3356451247
102,E14000631,Chesham and Amersham,495432,198692,-0.62111998,51.67890167,196348359.143237,87256.1907660798
103,E14000632,Chesterfield,440100,372487,-1.40050006,53.24790955,47356747.8011642,47526.2240469929
104,E14000633,Chichester,490172,116639,-0.71789998,50.94213867,646780894.607642,179871.492128553
34,E14000563,"Birmingham, Hodge Hill",410878,287656,-1.84123003,52.48672867,20513372.1717972,29630.2673943098
137,E14000666,Dewsbury,421195,414257,-1.68102002,53.62443161,126070562.964546,79721.7553351982
138,E14000667,Don Valley,460102,396080,-1.09630001,53.45806885,250862435.533001,122446.138640758
139,E14000668,Doncaster Central,460833,404244,-1.08371997,53.53136063,60698128.1156406,52703.84772482
140,E14000669,Doncaster North,455325,408912,-1.16597998,53.5739212,256990472.450661,122009.464194794
141,E14000670,Dover,629114,147136,1.27660501,51.17752838,215783602.945456,95502.0586993196
142,E14000671,Dudley North,392287,291911,-2.11509991,52.52502823,23073794.4854247,28790.4956791353
143,E14000672,Dudley South,391503,288292,-2.12655997,52.49248123,25376311.9893138,28725.7066125734
35,E14000564,"Birmingham, Ladywood",407075,288133,-1.89722002,52.49108124,25745021.2609917,35991.4842937613
36,E14000565,"Birmingham, Northfield",401888,279459,-1.97365999,52.41313934,24455743.6999036,33494.071377813
37,E14000566,"Birmingham, Perry Barr",406035,291868,-1.91246998,52.52466965,24857415.3114581,28244.7074872067
38,E14000567,"Birmingham, Selly Oak",406396,280770,-1.90735996,52.42488861,21875014.7004036,30817.2980578747
39,E14000568,"Birmingham, Yardley",412993,284792,-1.81018996,52.46092987,22614684.0890868,28093.6836366858
40,E14000569,Bishop Auckland,400989,521813,-1.98620999,54.59151077,922670309.236763,197530.207051709
41,E14000570,Blackburn,367090,427991,-2.50049996,53.74726105,40344216.9349394,32080.5119932892
469,E14000998,Tooting,527687,172670,-0.16428,51.43864059,11231790.0197637,17757.0800072475
42,E14000571,Blackley and Broughton,384164,401961,-2.2402699,53.51409912,28152042.6079466,34864.6771921662
43,E14000572,Blackpool North and Cleveleys,333059,443882,-3.01992989,53.88679123,28094432.9201736,39239.0763848719
470,E14000999,Torbay,290905,64048,-3.53851008,50.46606064,92063727.9683085,55189.3681175275
471,E14001000,Torridge and West Devon,244314,100575,-4.20988989,50.78377914,1716724760.67737,428970.420295859
472,E14001001,Totnes,279926,51138,-3.6890099,50.34785843,581454565.373302,238944.525904367
44,E14000573,Blackpool South,332763,433883,-3.02223992,53.7969017,24942178.414464,25654.6599718833
45,E14000574,Blaydon,417664,559658,-1.72588003,54.93130112,110925304.42766,72973.3290203986
46,E14000575,Blyth Valley,428115,577679,-1.56103003,55.09275055,71844768.7710108,47427.6921749059
47,E14000576,Bognor Regis and Littlehampton,494562,100500,-0.65960002,50.79634857,63430597.379768,56122.7287969514
48,E14000577,Bolsover,447998,366869,-1.28298998,53.19675827,226405475.920388,120890.060454768
49,E14000578,Bolton North East,372934,412475,-2.41053009,53.60813904,35943255.3984918,36869.8514981197
